seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr8	38831674	38831762	89	*	X0810	203100	38831668	38846181	14514	+	0	inside	5	HTRA4
chr8	38831847	38832015	169	*	X0811	203100	38831668	38846181	14514	+	0	inside	178	HTRA4
chr8	56791375	56791466	92	*	X0817	4067	56792386	56925006	132621	+	919	upstream	919	LYN
chr8	56791484	56791499	16	*	X0818	4067	56792386	56925006	132621	+	886	upstream	886	LYN
chr8	56791521	56791650	130	*	X0819	4067	56792386	56925006	132621	+	735	upstream	735	LYN
chr8	75234147	75234250	104	*	X0822	56704	75146939	75233562	86624	-	584	upstream	584	JPH1
chr8	79428053	79428099	47	*	X0823	5569	79428336	79517502	89167	+	236	upstream	236	PKIA
chr8	95907332	95907408	77	*	X0824	9134	95892453	95907482	15030	-	0	inside	73	CCNE2
chr8	97275122	97275159	38	*	X0825	51001	97251645	97273796	22152	-	1325	upstream	1325	MTERF3
chr8	97275176	97275233	58	*	X0826	51001	97251645	97273796	22152	-	1379	upstream	1379	MTERF3
chr8	99956840	99957076	237	*	X0827	116039	99956631	99964326	7696	+	0	inside	208	OSR2
chr8	110704252	110704268	17	*	X0834	55638	110586405	110704020	117616	-	231	upstream	231	SYBU
chr8	110704300	110704315	16	*	X0835	55638	110586405	110704020	117616	-	279	upstream	279	SYBU
chr8	120220070	120220107	38	*	X0840	114569	120220610	120257914	37305	+	502	upstream	502	MAL2
chr8	134309318	134309336	19	*	X0848	10397	134249414	134309547	60134	-	0	inside	210	NDRG1
chr8	134309371	134309371	1	*	X0849	10397	134249414	134309547	60134	-	0	inside	175	NDRG1
chr8	135725512	135725558	47	*	X0852	57623	135490031	135725292	235262	-	219	upstream	219	ZFAT
chr8	143484933	143484953	21	*	X0854	203062	143293441	143484543	191103	-	389	upstream	389	TSNARE1
chr8	143808779	143809007	229	*	X0856	100288181	143783670	143808391	24722	-	387	upstream	387	LNCOC1
chr8	143808779	143809007	229	*	X0856	51337	143808621	143818350	9730	+	0	inside	157	THEM6
chr8	143809284	143809305	22	*	X0857	100288181	143783670	143808391	24722	-	892	upstream	892	LNCOC1
chr8	144451676	144451767	92	*	X0858	78998	144448793	144450805	2013	-	870	upstream	870	RHPN1-AS1
chr8	144911821	144911844	24	*	X0863	22827	144898514	144911556	13043	-	264	upstream	264	PUF60
chr8	145149429	145149445	17	*	X0865	1537	145149942	145152428	2487	+	496	upstream	496	CYC1
chr9	21560031	21560042	12	*	X0870	554202	21454267	21559697	105431	-	333	upstream	333	MIR31HG
chr9	21994210	21994437	228	*	X0871	100048912	21994790	22121093	126304	+	352	upstream	352	CDKN2B-AS1
chr9	21994210	21994437	228	*	X0871	1029	21967751	21994490	26740	-	0	inside	52	CDKN2A
chr9	33816880	33816997	118	*	X0872	54926	33817182	33920401	103220	+	184	upstream	184	UBE2R2
chr9	34457237	34457360	124	*	X0873	27019	34458811	34520982	62172	+	1450	upstream	1450	DNAI1
chr9	37422493	37422525	33	*	X0877	9380	37422681	37436986	14306	+	155	upstream	155	GRHPR
chr9	37422544	37422625	82	*	X0878	9380	37422681	37436986	14306	+	55	upstream	55	GRHPR
chr9	66494370	66494507	138	*	X0882	442421	66496470	66503027	6558	+	1962	upstream	1962	PTGER4P2-CDK2AP2P2
chr9	86153155	86153191	37	*	X0887	257019	85857905	86153348	295444	-	0	inside	156	FRMD3
chr9	91794980	91794993	14	*	X0892	53358	91620686	91793682	172997	-	1297	upstream	1297	SHC3
chr9	91795014	91795033	20	*	X0893	53358	91620686	91793682	172997	-	1331	upstream	1331	SHC3
chr9	93563635	93563647	13	*	X0894	6850	93564012	93660842	96831	+	364	upstream	364	SYK
chr9	95571557	95571624	68	*	X0895	138649	95571893	95650975	79083	+	268	upstream	268	ANKRD19P
chr9	112261944	112261972	29	*	X0901	5774	112137974	112260593	122620	-	1350	upstream	1350	PTPN3
chr9	112262254	112262399	146	*	X0902	5774	112137974	112260593	122620	-	1660	upstream	1660	PTPN3
chr9	115248798	115248841	44	*	X0903	158405	115249248	115422706	173459	+	406	upstream	406	KIAA1958
chr9	115653126	115653416	291	*	X0904	57864	115641200	115653193	11994	-	0	overlapStart	0	SLC46A2
chr9	116111598	116111692	95	*	X0905	54836	116111812	116133513	21702	+	119	upstream	119	BSPRY
chr9	124262140	124262244	105	*	X0907	2681	124207269	124262306	55038	-	0	inside	61	GGTA1
chr9	125702882	125703040	159	*	X0912	23637	125703112	125867147	164036	+	71	upstream	71	RABGAP1
chr9	130374032	130374080	49	*	X0917	6812	130374486	130454995	80510	+	405	upstream	405	STXBP1
chr9	130965371	130965385	15	*	X0921	1759	130965663	131017527	51865	+	277	upstream	277	DNM1
chr9	130965412	130965516	105	*	X0922	1759	130965663	131017527	51865	+	146	upstream	146	DNM1
chr9	131940104	131940303	200	*	X0923	389792	131937831	131940540	2710	-	0	inside	236	IER5L
chr9	132515299	132515315	17	*	X0929	9536	132500615	132515344	14730	-	0	inside	28	PTGES
chr9	133971646	133971648	3	*	X0934	83543	133971863	133998539	26677	+	214	upstream	214	AIF1L
chr9	134151898	134151992	95	*	X0935	286336	134133465	134151906	18442	-	0	overlapStart	0	FAM78A
chr9	137030505	137030636	132	*	X0941	100151684	137029562	137029686	125	-	818	upstream	818	RNU6ATAC
chr9	137030652	137030675	24	*	X0942	100151684	137029562	137029686	125	-	965	upstream	965	RNU6ATAC
chr9	139258390	139258443	54	*	X0950	728489	139256352	139258263	1912	-	126	upstream	126	DNLZ
chr9	139258551	139258586	36	*	X0951	728489	139256352	139258263	1912	-	287	upstream	287	DNLZ
chr9	139685220	139685234	15	*	X0954	85014	139685777	139687769	1993	+	542	upstream	542	TMEM141
chr9	139839382	139839386	5	*	X0955	54461	139834885	139839206	4322	-	175	upstream	175	FBXW5
chr9	139839382	139839386	5	*	X0955	733	139839698	139841426	1729	+	311	upstream	311	C8G
chr9	140033623	140033681	59	*	X0957	2902	140033609	140063214	29606	+	0	inside	13	GRIN1
chr9	140063548	140063857	310	*	X0960	100500811	140063638	140063722	85	-	0	includeFeature	0	MIR3621
chr9	140063984	140064250	267	*	X0961	100500811	140063638	140063722	85	-	261	upstream	261	MIR3621
chr9	140063984	140064250	267	*	X0961	389816	140063212	140064491	1280	-	0	inside	240	LRRC26
chr9	140116724	140116744	21	*	X0962	727800	140114699	140115775	1077	-	948	upstream	948	RNF208
chr9	140116764	140116804	41	*	X0963	727800	140114699	140115775	1077	-	988	upstream	988	RNF208
chr9	140149398	140149584	187	*	X0964	100129722	140144671	140147949	3279	-	1448	upstream	1448	STPG3-AS1
chr9	140149398	140149584	187	*	X0964	25920	140149759	140168000	18242	+	174	upstream	174	NELFB
chr10	5708702	5708702	1	*	X0967	79754	5680820	5708558	27739	-	143	upstream	143	ASB13
chr10	5708757	5708995	239	*	X0968	79754	5680820	5708558	27739	-	198	upstream	198	ASB13
chr10	7453172	7453198	27	*	X0969	57713	7200586	7453448	252863	-	0	inside	249	SFMBT2
chr10	17243819	17243870	52	*	X0973	1787	17184982	17244070	59089	-	0	inside	199	TRDMT1
chr10	35929957	35930110	154	*	X0978	8325	35927177	35930362	3186	-	0	inside	251	FZD8
chr10	54074569	54074698	130	*	X0983	100506939	54056608	54073888	17281	-	680	upstream	680	PRKG1-AS1
chr10	65280508	65280815	308	*	X0986	221035	65281123	65384883	103761	+	307	upstream	307	REEP3
chr10	65280837	65280848	12	*	X0987	221035	65281123	65384883	103761	+	274	upstream	274	REEP3
chr10	72972110	72972139	30	*	X0989	219699	72972292	73062635	90344	+	152	upstream	152	UNC5B
chr10	91174967	91175186	220	*	X0997	3988	90973326	91174382	201057	-	584	upstream	584	LIPA
chr10	93393058	93393153	96	*	X0999	5507	93388197	93392858	4662	-	199	upstream	199	PPP1R3C
chr10	93393264	93393321	58	*	X1000	5507	93388197	93392858	4662	-	405	upstream	405	PPP1R3C
chr10	94831749	94831883	135	*	X1001	1592	94833232	94837641	4410	+	1348	upstream	1348	CYP26A1
chr10	95653506	95653537	32	*	X1002	159371	95653730	95714008	60279	+	192	upstream	192	SLC35G1
chr10	97889411	97889628	218	*	X1003	9849	97889472	97923517	34046	+	0	overlapStart	0	ZNF518A
chr10	98274009	98274027	19	*	X1004	7093	98124363	98273683	149321	-	325	upstream	325	TLL2
chr10	104001007	104001019	13	*	X1019	5309	103989946	104001231	11286	-	0	inside	211	PITX3
chr10	104953164	104953206	43	*	X1024	22978	104847774	104953063	105290	-	100	upstream	100	NT5C2
chr10	104953223	104953242	20	*	X1025	22978	104847774	104953063	105290	-	159	upstream	159	NT5C2
chr10	133999178	133999312	135	*	X1035	10570	134000414	134019280	18867	+	1101	upstream	1101	DPYSL4
chr10	133999342	133999369	28	*	X1036	10570	134000414	134019280	18867	+	1044	upstream	1044	DPYSL4
chr10	134145208	134145240	33	*	X1037	80313	134145614	134195010	49397	+	373	upstream	373	LRRC27
chr10	135122948	135123220	273	*	X1039	118471	135122894	135166187	43294	+	0	inside	53	PRAP1
chr10	135192203	135192230	28	*	X1040	196743	135192741	135205198	12458	+	510	upstream	510	PAOX
chr11	844028	844197	170	*	X1042	5441	839721	842529	2809	-	1498	upstream	1498	POLR2L
chr11	17566099	17566170	72	*	X1057	10083	17515442	17565963	50522	-	135	upstream	135	USH1C
chr11	17756747	17756751	5	*	X1058	3746	17757495	17804602	47108	+	743	upstream	743	KCNC1
chr11	18415935	18415952	18	*	X1059	3939	18415936	18429765	13830	+	0	overlapStart	0	LDHA
chr11	45907021	45907027	7	*	X1071	9479	45907047	45928016	20970	+	19	upstream	19	MAPK8IP1
chr11	57227255	57227573	319	*	X1079	349667	57228339	57244384	16046	+	765	upstream	765	RTN4RL2
chr11	57508628	57508697	70	*	X1082	280636	57508722	57510883	2162	+	24	upstream	24	SELENOH
chr11	59522310	59522319	10	*	X1083	6809	59522532	59573355	50824	+	212	upstream	212	STX3
chr11	60609233	60609245	13	*	X1084	79080	60609429	60618561	9133	+	183	upstream	183	CCDC86
chr11	61276504	61276734	231	*	X1085	390205	61276272	61278490	2219	+	0	inside	231	LRRC10B
chr11	63685758	63685866	109	*	X1093	283248	63678693	63684316	5624	-	1441	upstream	1441	RCOR2
chr11	64692012	64692024	13	*	X1095	5526	64692143	64701950	9808	+	118	upstream	118	PPP2R5B
chr11	64863389	64863494	106	*	X1096	738	64863587	64879332	15746	+	92	upstream	92	VPS51
chr11	65190126	65190634	509	*	X1098	283131	65190269	65212028	21760	+	0	overlapStart	0	NEAT1
chr11	65264858	65264868	11	*	X1100	378938	65265233	65273939	8707	+	364	upstream	364	MALAT1
chr11	65553760	65553830	71	*	X1101	5017	65554505	65564690	10186	+	674	upstream	674	OVOL1
chr11	65553903	65554076	174	*	X1102	5017	65554505	65564690	10186	+	428	upstream	428	OVOL1
chr11	66115713	66115861	149	*	X1105	11041	66112843	66115161	2319	-	551	upstream	551	B4GAT1
chr11	66360700	66360717	18	*	X1106	55231	66357640	66360554	2915	-	145	upstream	145	CCDC87
chr11	66360700	66360717	18	*	X1106	9973	66360690	66373490	12801	+	0	inside	9	CCS
chr11	66445589	66445599	11	*	X1107	83759	66432470	66445275	12806	-	313	upstream	313	RBM4B
chr11	67771627	67771818	192	*	X1110	81622	67758575	67771593	13019	-	33	upstream	33	UNC93B1
chr11	74952144	74952155	12	*	X1123	100507050	74951950	74954749	2800	+	0	inside	193	TPBGL
chr11	74952207	74952223	17	*	X1124	100507050	74951950	74954749	2800	+	0	inside	256	TPBGL
chr11	75063013	75063261	249	*	X1127	408	74971166	75062875	91710	-	137	upstream	137	ARRB1
chr11	75141487	75141656	170	*	X1129	283212	75133438	75141674	8237	-	0	inside	17	KLHL35
chr11	75379702	75379789	88	*	X1130	4135	75297963	75379479	81517	-	222	upstream	222	MAP6
chr11	75379812	75379932	121	*	X1131	4135	75297963	75379479	81517	-	332	upstream	332	MAP6
chr11	76382226	76382315	90	*	X1132	2615	76368568	76381791	13224	-	434	upstream	434	LRRC32
chr11	76382330	76382364	35	*	X1133	2615	76368568	76381791	13224	-	538	upstream	538	LRRC32
chr11	76382383	76382440	58	*	X1134	2615	76368568	76381791	13224	-	591	upstream	591	LRRC32
chr11	100999561	100999619	59	*	X1140	101054525	100999808	101069639	69832	+	188	upstream	188	PGR-AS1
chr11	100999635	100999690	56	*	X1141	101054525	100999808	101069639	69832	+	117	upstream	117	PGR-AS1
chr11	106889388	106889510	123	*	X1142	2977	106544738	106889171	344434	-	216	upstream	216	GUCY1A2
chr11	106890021	106890035	15	*	X1143	2977	106544738	106889171	344434	-	849	upstream	849	GUCY1A2
chr11	110583599	110583811	213	*	X1145	57569	110447759	110583912	136154	-	0	inside	100	ARHGAP20
chr11	118781611	118781683	73	*	X1154	283149	118766851	118781613	14763	-	0	overlapStart	0	BCL9L
chr11	121322126	121322434	309	*	X1156	6653	121322912	121504471	181560	+	477	upstream	477	SORL1
chr11	124632019	124632035	17	*	X1160	90952	124622026	124632223	10198	-	0	inside	187	ESAM
chr11	124632664	124632682	19	*	X1161	90952	124622026	124632223	10198	-	440	upstream	440	ESAM
chr11	124632804	124632831	28	*	X1162	90952	124622026	124632223	10198	-	580	upstream	580	ESAM
chr11	126173633	126173730	98	*	X1166	28960	126173647	126215644	41998	+	0	overlapStart	0	DCPS
chr11	128760414	128760615	202	*	X1168	3762	128761313	128787951	26639	+	697	upstream	697	KCNJ5
chr11	128760632	128760661	30	*	X1169	3762	128761313	128787951	26639	+	651	upstream	651	KCNJ5
chr11	129245358	129245430	73	*	X1170	8538	129245881	129322174	76294	+	450	upstream	450	BARX2
chr11	129765905	129765918	14	*	X1171	4798	129733670	129765490	31821	-	414	upstream	414	NFRKB
chr11	134095440	134095561	122	*	X1172	23310	134022337	134094426	72090	-	1013	upstream	1013	NCAPD3
chr12	6716813	6716895	83	*	X1182	1108	6679248	6716551	37304	-	261	upstream	261	CHD4
chr12	13043474	13043530	57	*	X1191	9052	13043956	13066600	22645	+	425	upstream	425	GPRC5A
chr12	26277837	26277990	154	*	X1193	79365	26272959	26278003	5045	-	0	inside	12	BHLHE41
chr12	31882302	31882394	93	*	X1198	196394	31824071	31882108	58038	-	193	upstream	193	AMN1
chr12	31882442	31882464	23	*	X1199	196394	31824071	31882108	58038	-	333	upstream	333	AMN1
chr12	44229330	44229344	15	*	X1204	84216	44229962	44783541	553580	+	617	upstream	617	TMEM117
chr12	48213872	48214133	262	*	X1206	51564	48176507	48213763	37257	-	108	upstream	108	HDAC7
chr12	48214147	48214280	134	*	X1207	51564	48176507	48213763	37257	-	383	upstream	383	HDAC7
chr12	48398616	48398670	55	*	X1208	1280	48366748	48398285	31538	-	330	upstream	330	COL2A1
chr12	49365678	49365734	57	*	X1210	7480	49359123	49365641	6519	-	36	upstream	36	WNT10B
chr12	49393198	49393240	43	*	X1211	23109	49388933	49393088	4156	-	109	upstream	109	DDN
chr12	49450049	49450082	34	*	X1212	8085	49412758	49449107	36350	-	941	upstream	941	KMT2D
chr12	49730881	49730915	35	*	X1216	338761	49726200	49730971	4772	-	0	inside	55	C1QL4
chr12	49931971	49932047	77	*	X1217	23416	49932940	49952077	19138	+	892	upstream	892	KCNH3
chr12	50450968	50451155	188	*	X1218	41	50451420	50477405	25986	+	264	upstream	264	ASIC1
chr12	50677485	50677558	74	*	X1219	51474	50569563	50677353	107791	-	131	upstream	131	LIMA1
chr12	52416707	52416898	192	*	X1220	3164	52416616	52453291	36676	+	0	inside	90	NR4A1
chr12	52463321	52463355	35	*	X1221	60673	52463758	52471279	7522	+	402	upstream	402	ATG101
chr12	53626756	53626981	226	*	X1222	5916	53604350	53626040	21691	-	715	upstream	715	RARG
chr12	54942917	54943198	282	*	X1230	5153	54943177	54973023	29847	+	0	overlapStart	0	PDE1B
chr12	57623177	57623239	63	*	X1237	6472	57623356	57628718	5363	+	116	upstream	116	SHMT2
chr12	57634263	57634579	317	*	X1238	56901	57628686	57634475	5790	-	0	overlapStart	0	NDUFA4L2
chr12	57634610	57634633	24	*	X1239	56901	57628686	57634475	5790	-	134	upstream	134	NDUFA4L2
chr12	58120282	58120356	75	*	X1240	100130776	58120023	58122139	2117	+	0	inside	258	AGAP2-AS1
chr12	58148564	58148624	61	*	X1242	92979	58148881	58154193	5313	+	256	upstream	256	MARCHF9
chr12	72233308	72233386	79	*	X1250	64786	72233487	72320629	87143	+	100	upstream	100	TBC1D15
chr12	96337288	96337319	32	*	X1253	120935	96260826	96336428	75603	-	859	upstream	859	CCDC38
chr12	96337288	96337319	32	*	X1253	144193	96337071	96362370	25300	+	0	inside	216	AMDHD1
chr12	107168793	107168924	132	*	X1256	100287944	106890188	107168609	278422	-	183	upstream	183	LOC100287944
chr12	115122840	115122925	86	*	X1259	6926	115108059	115121969	13911	-	870	upstream	870	TBX3
chr12	122688373	122688399	27	*	X1261	79369	122688228	122692084	3857	+	0	inside	144	B3GNT4
chr12	122688428	122688476	49	*	X1262	79369	122688228	122692084	3857	+	0	inside	199	B3GNT4
chr13	28366703	28366805	103	*	X1278	219409	28366780	28368089	1310	+	0	overlapStart	0	GSX1
chr13	28543281	28543336	56	*	X1281	1045	28536205	28543505	7301	-	0	inside	168	CDX2
chr13	28543370	28543431	62	*	X1282	1045	28536205	28543505	7301	-	0	inside	73	CDX2
chr13	32889510	32889603	94	*	X1283	675	32889617	32973809	84193	+	13	upstream	13	BRCA2
chr13	51796227	51796263	37	*	X1285	220108	51796470	51858377	61908	+	206	upstream	206	FAM124A
chr13	113242594	113242756	163	*	X1290	10426	113139328	113242481	103154	-	112	upstream	112	TUBGCP3
chr13	113951164	113951201	38	*	X1291	3916	113951469	113977741	26273	+	267	upstream	267	LAMP1
chr14	23426416	23426432	17	*	X1295	100616424	23426159	23426238	80	-	177	upstream	177	MIR4707
chr14	23426416	23426432	17	*	X1295	54930	23415437	23426357	10921	-	58	upstream	58	HAUS4
chr14	33407661	33407689	29	*	X1297	64067	33408459	34273382	864924	+	769	upstream	769	NPAS3
chr14	36002668	36002693	26	*	X1300	84684	36003248	36006260	3013	+	554	upstream	554	INSM2
chr14	51562397	51562441	45	*	X1312	114088	51441981	51562422	120442	-	0	overlapStart	0	TRIM9
chr14	51562470	51562623	154	*	X1313	114088	51441981	51562422	120442	-	47	upstream	47	TRIM9
chr14	67878756	67878989	234	*	X1320	26499	67853700	67878828	25129	-	0	overlapStart	0	PLEK2
chr14	77228099	77228144	46	*	X1328	22846	77228235	77249363	21129	+	90	upstream	90	VASH1
chr14	91884541	91884553	13	*	X1336	440193	91737667	91884188	146522	-	352	upstream	352	CCDC88C
chr14	91884575	91884647	73	*	X1337	440193	91737667	91884188	146522	-	386	upstream	386	CCDC88C
chr14	100626462	100626519	58	*	X1344	123099	100612753	100626012	13260	-	449	upstream	449	DEGS2
chr14	104583135	104583366	232	*	X1347	406986	104583742	104583851	110	+	375	upstream	375	MIR203A
chr14	105071143	105071150	8	*	X1348	388021	105060420	105071097	10678	-	45	upstream	45	TMEM179
chr14	105330607	105330650	44	*	X1350	283638	105331650	105363107	31458	+	999	upstream	999	CEP170B
chr14	105782024	105782055	32	*	X1358	2972	105675623	105781914	106292	-	109	upstream	109	BRF1
chr14	105953544	105953557	14	*	X1359	1396	105953257	105955124	1868	+	0	inside	286	CRIP1
chr15	33010402	33010512	111	*	X1362	26585	33010205	33026870	16666	+	0	inside	196	GREM1
chr15	40452949	40452979	31	*	X1364	701	40453210	40513337	60128	+	230	upstream	230	BUB1B
chr15	41055459	41055503	45	*	X1369	2644	41056285	41059911	3627	+	781	upstream	781	GCHFR
chr15	41166452	41166488	37	*	X1371	171177	41164412	41166487	2076	-	0	overlapStart	0	RHOV
chr15	56034840	56034922	83	*	X1378	283659	55903739	56035177	131439	-	0	inside	254	PRTG
chr15	62359234	62359251	18	*	X1381	145741	62359176	62363116	3941	+	0	inside	57	C2CD4A
chr15	62359410	62359483	74	*	X1382	145741	62359176	62363116	3941	+	0	inside	233	C2CD4A
chr15	63334201	63334214	14	*	X1383	7168	63334838	63364113	29276	+	623	upstream	623	TPM1
chr15	63674014	63674044	31	*	X1385	771	63615730	63674075	58346	-	0	inside	30	CA12
chr15	63892908	63892955	48	*	X1386	100130855	63879909	63893026	13118	-	0	inside	70	USP3-AS1
chr15	67813678	67813696	19	*	X1389	145853	67813522	67819641	6120	+	0	inside	155	C15orf61
chr15	72565310	72565329	20	*	X1393	56965	72533522	72563628	30107	-	1681	upstream	1681	PARP6
chr15	75287546	75287549	4	*	X1398	192683	75287876	75313836	25961	+	326	upstream	326	SCAMP5
chr15	79384295	79384314	20	*	X1402	5923	79252289	79383215	130927	-	1079	upstream	1079	RASGRF1
chr15	80445411	80445476	66	*	X1403	2184	80445131	80478924	33794	+	0	inside	279	FAH
chr15	83654471	83654499	29	*	X1408	83640	83654955	83659809	4855	+	455	upstream	455	RAMAC
chr16	717856	717875	20	*	X1430	89941	718083	724174	6092	+	207	upstream	207	RHOT2
chr16	776825	776856	32	*	X1431	124093	772582	776880	4299	-	0	inside	23	CCDC78
chr16	776825	776856	32	*	X1431	84264	776958	779715	2758	+	101	upstream	101	HAGHL
chr16	1524930	1524971	42	*	X1433	1186	1494934	1525085	30152	-	0	inside	113	CLCN7
chr16	3018736	3018886	151	*	X1438	124222	3019342	3023485	4144	+	455	upstream	455	PAQR4
chr16	3018898	3018920	23	*	X1439	124222	3019342	3023485	4144	+	421	upstream	421	PAQR4
chr16	3355256	3355309	54	*	X1442	7627	3355433	3368576	13144	+	123	upstream	123	ZNF75A
chr16	3355256	3355309	54	*	X1442	91151	3348808	3355439	6632	-	0	inside	129	TIGD7
chr16	4818600	4818675	76	*	X1447	26048	4800815	4817166	16352	-	1433	upstream	1433	ZNF500
chr16	5008448	5008811	364	*	X1448	9717	5008318	5069156	60839	+	0	inside	129	SEC14L5
chr16	22824749	22824750	2	*	X1456	9956	22825860	22927659	101800	+	1109	upstream	1109	HS3ST2
chr16	23313389	23313479	91	*	X1457	6338	23313591	23392620	79030	+	111	upstream	111	SCNN1B
chr16	30907052	30907089	38	*	X1462	1489	30907928	30914881	6954	+	838	upstream	838	CTF1
chr16	30907052	30907089	38	*	X1462	9274	30846270	30905399	59130	-	1652	upstream	1652	BCL7C
chr16	30907136	30907149	14	*	X1463	1489	30907928	30914881	6954	+	778	upstream	778	CTF1
chr16	30907136	30907149	14	*	X1463	9274	30846270	30905399	59130	-	1736	upstream	1736	BCL7C
chr16	54963878	54963900	23	*	X1473	10265	54965111	54968395	3285	+	1210	upstream	1210	IRX5
chr16	54963878	54963900	23	*	X1473	643911	54952777	54963101	10325	-	776	upstream	776	CRNDE
chr16	55358448	55358506	59	*	X1474	79190	55358471	55364672	6202	+	0	overlapStart	0	IRX6
chr16	56642628	56642643	16	*	X1475	4489	56642478	56673999	31522	+	0	inside	149	MT1A
chr16	56642628	56642643	16	*	X1475	4502	56642478	56643409	932	+	0	inside	149	MT2A
chr16	56965863	56965906	44	*	X1477	9709	56966002	56977793	11792	+	95	upstream	95	HERPUD1
chr16	57318297	57318356	60	*	X1478	51090	57290009	57318584	28576	-	0	inside	227	PLLP
chr16	58718760	58718791	32	*	X1481	55238	58700298	58718674	18377	-	85	upstream	85	SLC38A7
chr16	58768335	58768371	37	*	X1482	2806	58741035	58768246	27212	-	88	upstream	88	GOT2
chr16	67218541	67218562	22	*	X1487	653319	67209505	67217943	8439	-	597	upstream	597	KIAA0895L
chr16	67841057	67841115	59	*	X1489	55815	67840977	67861971	20995	+	0	inside	79	TSNAXIP1
chr16	67841057	67841115	59	*	X1489	57610	67757005	67840555	83551	-	501	upstream	501	RANBP10
chr16	74734567	74734655	89	*	X1499	197259	74705753	74734789	29037	-	0	inside	133	MLKL
chr16	80574744	80574767	24	*	X1501	83657	80574854	80584541	9688	+	86	upstream	86	DYNLRB2
chr16	87525475	87525494	20	*	X1504	23174	87439852	87525460	85609	-	14	upstream	14	ZCCHC14
chr16	89238236	89238288	53	*	X1507	1013	89238163	89261900	23738	+	0	inside	72	CDH15
chr16	89387075	89387156	82	*	X1508	100287036	89387541	89391518	3978	+	384	upstream	384	LOC100287036
chr16	89387240	89387285	46	*	X1509	100287036	89387541	89391518	3978	+	255	upstream	255	LOC100287036
chr17	31589	31788	200	*	X1514	8447	6011	31420	25410	-	168	upstream	168	DOC2B
chr17	1928860	1928892	33	*	X1517	146760	1837971	1928178	90208	-	681	upstream	681	RTN4RL1
chr17	1953183	1953230	48	*	X1519	406921	1953202	1953302	101	-	0	overlapEnd	71	MIR132
chr17	7210289	7210318	30	*	X1528	1984	7210318	7215782	5465	+	0	overlapStart	0	EIF5A
chr17	7210361	7210401	41	*	X1529	1984	7210318	7215782	5465	+	0	inside	42	EIF5A
chr17	7608151	7608244	94	*	X1530	1949	7608520	7614693	6174	+	275	upstream	275	EFNB3
chr17	16120307	16120363	57	*	X1536	9487	16120509	16229573	109065	+	145	upstream	145	PIGL
chr17	16120307	16120363	57	*	X1536	9611	15933408	16118874	185467	-	1432	upstream	1432	NCOR1
chr17	16341929	16341958	30	*	X1537	125144	16342301	16373962	31662	+	342	upstream	342	SNHG29
chr17	16341929	16341958	30	*	X1537	26800	16343350	16343420	71	+	1391	upstream	1391	SNORD49A
chr17	16341929	16341958	30	*	X1537	692087	16342823	16342870	48	+	864	upstream	864	SNORD49B
chr17	29248748	29248779	32	*	X1548	55803	29248754	29286211	37458	+	0	overlapStart	0	ADAP2
chr17	30186450	30186608	159	*	X1549	55352	30178884	30186326	7443	-	123	upstream	123	COPRS
chr17	36831425	36831532	108	*	X1555	100170841	36827959	36831187	3229	-	237	upstream	237	EPOP
chr17	36981865	36981879	15	*	X1556	100616416	36982091	36982145	55	+	211	upstream	211	MIR4727
chr17	36981865	36981879	15	*	X1556	54883	36956687	36981608	24922	-	256	upstream	256	CWC25
chr17	38257283	38257335	53	*	X1562	9572	38249037	38256978	7942	-	304	upstream	304	NR1D1
chr17	38256710	38256899	190	*	X1563	9572	38249037	38256978	7942	-	0	inside	78	NR1D1
chr17	41466225	41466569	345	*	X1576	100130581	41447213	41466266	19054	-	0	overlapStart	0	LINC00910
chr17	43224407	43224418	12	*	X1578	10614	43224684	43229468	4785	+	265	upstream	265	HEXIM1
chr17	45772437	45772679	243	*	X1586	9755	45772630	45789429	16800	+	0	overlapStart	0	TBKBP1
chr17	45772920	45773073	154	*	X1587	9755	45772630	45789429	16800	+	0	inside	289	TBKBP1
chr17	46620672	46621131	460	*	X1588	100874362	46621713	46628603	6891	+	581	upstream	581	HOXB-AS1
chr17	46703955	46704132	178	*	X1590	3219	46698519	46703835	5317	-	119	upstream	119	HOXB9
chr17	48045637	48045703	67	*	X1597	1748	48046562	48052323	5762	+	858	upstream	858	DLX4
chr17	48045732	48045775	44	*	X1598	1748	48046562	48052323	5762	+	786	upstream	786	DLX4
chr17	48046832	48046913	82	*	X1599	1748	48046562	48052323	5762	+	0	inside	269	DLX4
chr17	48072434	48072707	274	*	X1600	1747	48067369	48072588	5220	-	0	overlapStart	0	DLX3
chr17	48227504	48227579	76	*	X1605	84687	48211101	48227877	16777	-	0	inside	297	PPP1R9B
chr17	54912392	54912419	28	*	X1612	339210	54869274	54911256	41983	-	1135	upstream	1135	C17orf67
chr17	54912471	54912485	15	*	X1613	339210	54869274	54911256	41983	-	1214	upstream	1214	C17orf67
chr17	58156878	58156903	26	*	X1615	63897	58120552	58156292	35741	-	585	upstream	585	HEATR6
chr17	65990044	65990051	8	*	X1624	284018	65987217	65989765	2549	-	278	upstream	278	C17orf58
chr17	66288576	66288588	13	*	X1625	9120	66263167	66287405	24239	-	1170	upstream	1170	SLC16A6
chr17	72427862	72427907	46	*	X1627	55890	72427667	72446720	19054	+	0	inside	194	GPRC5C
